"","S1.CEL.gz","S2.CEL.gz","S3.CEL.gz","S4.CEL.gz","S5.CEL.gz","S6.CEL.gz","S7.CEL.gz"
"MSANTD3",7.86342344503572,7.75959268805795,8.0583313917784,8.1562414282192,8.67911045586792,7.63572208212243,7.84982305642165
"SLC46A1",5.8259725607494,5.8132445156171,5.39429707944907,5.51702894526564,5.98616908648183,5.8132445156171,5.97708122418158
"TIMD4",4.46963613540589,3.92607777921777,4.23874885715627,3.90644900685977,4.57188332311466,4.80351775184635,4.39618037426389
"SLC39A5",8.82356707708981,9.21639203020538,8.66171085578197,8.84736477674961,7.32365330353537,9.21179252566934,9.25033045994381
"ZDHHC11B",4.94045813558664,5.19149385694342,4.94045813558664,5.58470170766279,4.58497519277805,4.30138382389617,4.94045813558664
"ZDHHC11",4.94045813558664,5.19149385694342,4.94045813558664,5.58470170766279,4.58497519277805,4.30138382389617,4.94045813558664
"ATP6V1E2",6.3294805504279,6.60457208759763,6.41500632138939,6.42701689063023,6.45577168320408,6.51453478396034,6.71868439577523
"AFG3L1P",5.85776516528392,6.52228683482003,5.93292291509722,6.31988270292502,5.45445452480643,5.74647539729264,5.3471801326456
"CILP2",4.38404957208589,4.25620123352674,4.5018561671057,4.29428978001555,4.52513270335193,4.40152398724032,4.38404957208589
"PIGX",5.69338812505502,6.7247566357959,6.01779012357205,5.76520029633601,5.29561477819151,5.70876759730515,5.47525790599299
"TMEM196",5.31166775717384,5.37961816685917,5.17163392712291,5.37961816685917,5.37961816685917,5.38445230384966,5.47776647237934
"SLC39A13",7.6845800656157,7.68543889158559,7.85979508707098,7.54463345545942,8.10544297846423,7.41269031345429,7.51995164010255
"BEST4",6.9698174874243,7.16619956795622,6.62248432349046,5.19482041656698,4.84751477048527,7.13482138981828,7.44287155615246
"AK9",5.21506775582055,6.43635614199881,5.50463483523685,6.31440523283473,5.27983164158418,5.25840852005645,5.10551357226385
"CORO6",5.45413872442852,4.89131532441877,5.72884187800098,5.05026099594127,6.0316575425121,5.16963646970278,5.41662485439801
"TMEM106A",3.95448322504727,3.95448322504727,3.84095042569008,3.77303916003596,4.80944292497685,3.95448322504727,3.7687526783712
"ALG10",4.85348506872539,5.17669198423763,4.50121836237852,5.45573844211115,4.66646415511111,5.23601074559874,5.29561477819151
"TTC39C",5.79221816392485,5.36226603919748,5.4480397333084,5.27812051064644,6.54565792112527,5.74955759400462,5.53411761642034
"NEXN",9.10363973293326,7.44453339803353,10.3092531337807,7.52432740340939,9.98270074620032,7.83957133797088,8.94743906681958
"C15orf40",7.02576839990857,7.23439937658955,7.37508459753096,8.16342632126255,7.32285104935185,7.59532105747027,7.25467713728502
