"","S1.CEL.gz","S2.CEL.gz","S3.CEL.gz"
"C20orf173",5.19494043333176,5.05580175394101,5.19494043333176
"GALNTL5",3.15375258581332,3.15375258581332,3.15375258581332
"TTTY7",5.88574827551508,5.88574827551508,5.88574827551508
"TTTY7B",5.88574827551508,5.88574827551508,5.88574827551508
"ODAD1",4.38187365861226,4.38187365861226,4.38187365861226
"KRT82",5.42062524674195,5.35593337855683,5.35593337855683
"DEFB129",3.58107680826771,3.54712576463246,3.42121688292947
"LINC03020",3.52117004455345,3.52117004455345,3.52117004455345
"SELENOO",6.69261618624112,5.53464032633908,6.90248627096051
"LINC00348",3.28460140130895,3.28460140130895,3.28460140130895
"GRIN3A",3.72879538089166,3.72879538089166,3.72879538089166
"LINC01797",3.77265274271931,3.70800561806677,3.77265274271931
"LINC03014",4.14407266535339,4.15114797253684,4.14407266535339
"TGIF2LY",4.51094582937349,4.57559295402603,4.57559295402603
"TGIF2LX",4.51094582937349,4.57559295402603,4.57559295402603
"CASC18",3.68526018925251,3.68526018925251,3.68526018925251
"STARD13-AS",4.16374955204928,3.78525947023692,3.94603025182933
"KCNMB2-AS1",3.92042369179542,3.86676582847105,3.83581593951151
"DEFB118",6.37068755202533,6.37068755202533,6.37068755202533
"KCTD16",3.85262806253292,3.58107680826771,3.75289300614875
"LINC01933",4.51391291610377,4.51391291610377,4.51391291610377
"FXNP2",4.36304982605206,4.31802791712908,4.36304982605206
"LINC01798",5.71534331091905,5.71534331091905,5.71534331091905
"RAB33B-AS1",5.00794127416119,5.77086374863923,4.89842170625942
"VN1R108P",3.11626328602204,3.06514370960157,3.06514370960157
"CCDC169-SOHLH2",3.13817600025197,3.1959925250972,3.28460140130895
"NECAB1",3.01148584627719,3.06514370960157,3.06514370960157
"TCAM1P",3.80785323197833,3.58107680826771,3.9211919556576
"CCDC39",3.02881834498882,3.06465488575673,3.02881834498882
"RNU6-1083P",7.33761711865014,7.30041956621052,7.26221857448377
"FAM230J",3.98923952631319,3.98923952631319,4.08404398884448
"FAM230D",3.98923952631319,3.98923952631319,4.08404398884448
"FAM230H",3.98923952631319,3.98923952631319,4.08404398884448
"FAM230B",3.98923952631319,3.98923952631319,4.08404398884448
"FAM230A",3.98923952631319,3.98923952631319,4.08404398884448
"FAM230E",3.98923952631319,3.98923952631319,4.08404398884448
"SPINK13",4.05388665096573,4.05388665096573,4.03282240161137
"DEFB127",3.88027917186816,4.03515705444094,3.88027917186816
"WDR97",3.94436708306396,4.06785498220601,4.059955160164
"FER1L5",4.4701152551472,4.32495699597552,4.32495699597552
"C20orf204",4.39609534685766,4.39609534685766,4.39609534685766
"TRIM67",6.37068755202533,6.37068755202533,6.3113812160907
"TM6SF2",6.21760194879434,6.21760194879434,6.21760194879434
"POLN",6.08601160504844,6.09645655472233,6.09645655472233
"TBC1D28",3.83581593951151,3.83581593951151,3.83581593951151
"PTPN5",4.09894788633461,4.09894788633461,3.99633330346213
"TBC1D27P",6.59618203642313,6.95675467213871,6.53025439025063
"RPL26L1-AS1",4.06326064050902,3.88027917186816,4.02625051320259
"OR2A7",5.63196858002377,5.3894177123568,5.90457107276841
"OR2A4",5.63196858002377,5.3894177123568,5.90457107276841
"MIR3147HG",6.78036625761944,6.81270525296502,6.78036625761944
"SH3RF3-AS1",3.54971056841499,3.63715550944821,3.54971056841499
"SPAG17",4.01967724929423,4.05388665096573,4.01967724929423
"CMYA5",7.21350408731538,7.27349123692325,7.11389011681643
"MEF2C-AS1",5.35593337855683,5.35593337855683,5.35593337855683
"BPIFB4",5.42053819338481,5.42053819338481,5.42053819338481
"ESAM-AS1",3.9027479926742,6.17167809174478,4.4701152551472
"LINC00396",4.29928941260246,3.94436708306396,3.79293363273257
"SDCBP2-AS1",4.36264594218102,4.36264594218102,4.36264594218102
"KRTAP1-5",4.70967898801228,4.70967898801228,4.70967898801228
"KRTAP3-2",3.28460140130895,3.28460140130895,3.39972505027765
"KRTAP3-1",7.2934500471752,7.54161712607413,7.32867011422912
"LIMD1-AS1",6.46624002193248,6.44728374111966,6.46624002193248
"LINC00839",6.06811446398043,6.06811446398043,6.13129904108504
"SDCBP2",9.66725846064857,9.66725846064857,9.10706684730243
"CATSPERE",3.72879538089166,3.72879538089166,3.72879538089166
"MIR3681HG",5.46340010095391,5.07262565391171,5.1558488948536
"LINC02555",3.08960534731269,3.08960534731269,3.08960534731269
"PNPLA5",5.34433843158763,4.98253700080902,4.98253700080902
"LINC02871",4.25375426468549,4.20602916315679,4.25375426468549
"C3orf85",5.78553857563892,7.68825402898775,6.27204559201538
"MIR3976HG",3.52117004455345,3.52117004455345,3.52117004455345
"TSPY26P",4.84915295855749,4.84915295855749,4.84915295855749
"KRTAP9-2",4.42609172678521,4.42609172678521,4.42609172678521
"KRTAP9-8",4.42609172678521,4.42609172678521,4.42609172678521
"MARVELD3",6.63056283626376,6.90765049375739,6.63056283626376
"KRTAP9-4",5.14977980085203,5.10952485022382,5.10952485022382
"MPND",8.58151243041789,7.93341335960768,7.72791933961928
"LINC00557",3.94436708306396,3.94436708306396,3.94436708306396
"TRIM54",5.38848255735165,5.38848255735165,5.38848255735165
"TPTE2P6",3.94436708306396,3.51228829467559,3.51228829467559
"LINC02149",3.15375258581332,3.15375258581332,3.03047110401219
"KRTAP3-3",3.28460140130895,3.28460140130895,3.11333664101052
"KLK9",5.82194163879764,5.80283312862534,5.80283312862534
"OR51J1",5.4938749702257,5.55867663594037,5.4938749702257
"POU6F2-AS2",3.06514370960157,3.15686072015269,3.06514370960157
"C6orf163",4.84915295855749,4.76085575507434,4.89186077771571
"CST11",3.88027917186816,3.88027917186816,3.83956400660075
"LINC00544",3.72879538089166,3.6680083785678,3.72879538089166
"LINC00028",5.82814405556138,5.82814405556138,5.82814405556138
"FAM184B",4.84915295855749,4.8232626413813,5.88102801282106
